pin,slack
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/UG10.make_baud_cntr2.un2_baud_cntr_1:A,16240
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/UG10.make_baud_cntr2.un2_baud_cntr_1:B,16199
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/UG10.make_baud_cntr2.un2_baud_cntr_1:C,16154
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/UG10.make_baud_cntr2.un2_baud_cntr_1:D,16056
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/UG10.make_baud_cntr2.un2_baud_cntr_1:Y,16056
tx_obuf/U_IOPAD:D,
tx_obuf/U_IOPAD:E,
tx_obuf/U_IOPAD:PAD,
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/baud_cntr_RNIQ30B9[11]:B,18104
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/baud_cntr_RNIQ30B9[11]:CC,16003
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/baud_cntr_RNIQ30B9[11]:P,18104
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/baud_cntr_RNIQ30B9[11]:S,16003
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/baud_cntr_RNIQ30B9[11]:Y3,
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/baud_cntr_RNIQ30B9[11]:Y3A,
clk_ibuf/U_IOIN:Y,
clk_ibuf/U_IOIN:YIN,
uart_i/COREUART_C0_0/make_RX/rx_byte_xhdl5[6]:ALn,
uart_i/COREUART_C0_0/make_RX/rx_byte_xhdl5[6]:CLK,18223
uart_i/COREUART_C0_0/make_RX/rx_byte_xhdl5[6]:D,19105
uart_i/COREUART_C0_0/make_RX/rx_byte_xhdl5[6]:EN,17230
uart_i/COREUART_C0_0/make_RX/rx_byte_xhdl5[6]:Q,18223
uart_i/COREUART_C0_0/make_RX/rx_byte_xhdl5[1]:ALn,
uart_i/COREUART_C0_0/make_RX/rx_byte_xhdl5[1]:CLK,16814
uart_i/COREUART_C0_0/make_RX/rx_byte_xhdl5[1]:D,19105
uart_i/COREUART_C0_0/make_RX/rx_byte_xhdl5[1]:EN,17230
uart_i/COREUART_C0_0/make_RX/rx_byte_xhdl5[1]:Q,16814
uart_i/COREUART_C0_0/make_RX/rx_byte_xhdl5[5]:ALn,
uart_i/COREUART_C0_0/make_RX/rx_byte_xhdl5[5]:CLK,18370
uart_i/COREUART_C0_0/make_RX/rx_byte_xhdl5[5]:D,19105
uart_i/COREUART_C0_0/make_RX/rx_byte_xhdl5[5]:EN,17230
uart_i/COREUART_C0_0/make_RX/rx_byte_xhdl5[5]:Q,18370
uart_i/COREUART_C0_0/make_RX/framing_error_int:ALn,
uart_i/COREUART_C0_0/make_RX/framing_error_int:CLK,18205
uart_i/COREUART_C0_0/make_RX/framing_error_int:D,17291
uart_i/COREUART_C0_0/make_RX/framing_error_int:EN,18873
uart_i/COREUART_C0_0/make_RX/framing_error_int:Q,18205
uart_i/COREUART_C0_0/make_RX/rx_state_ns_1_0_.m16_2:A,16559
uart_i/COREUART_C0_0/make_RX/rx_state_ns_1_0_.m16_2:B,18288
uart_i/COREUART_C0_0/make_RX/rx_state_ns_1_0_.m16_2:C,16551
uart_i/COREUART_C0_0/make_RX/rx_state_ns_1_0_.m16_2:D,17260
