Detailed Resource Usage
Module Name,Fabric 4LUT,Fabric DFF,Interface 4LUT,Interface DFF,Single-Ended I/O,LSRAM 18K,Chip Globals
Primitives/Primitives,1,13,0,0,21,0,1
ident_coreinst/IICE_INST/Primitives,0,74,0,0,0,0,0
ident_coreinst/IICE_INST/b3_SoW/Primitives,129,183,0,0,0,0,0
ident_coreinst/IICE_INST/b3_SoW/b3_SoW/Primitives,0,0,72,72,0,2,0
ident_coreinst/IICE_INST/b3_SoW/b6_SoWyQD/Primitives,4,73,0,0,0,0,0
ident_coreinst/IICE_INST/b3_SoW/samplerStatus/Primitives,20,18,0,0,0,0,0
ident_coreinst/IICE_INST/b3_SoW/virOut/Primitives,4,32,0,0,0,0,0
ident_coreinst/IICE_INST/b4_PfFz/b5_PbrtL/Primitives,1,9,0,0,0,0,0
ident_coreinst/IICE_INST/b4_PfFz/b7_PbTtl9G/b6_2ZGFQ9/b25_O2yyf_fG2_MiQA1E6_q_lnxob/Primitives,1,0,0,0,0,0,0
ident_coreinst/IICE_INST/b4_PfFz/b7_PbTtl9G/b7_1LbcgKF/Primitives,5,0,0,0,0,0,0
ident_coreinst/IICE_INST/b4_PfFz/b7_PbTtl9G/b7_1LbcgKG/Primitives,5,0,0,0,0,0,0
ident_coreinst/IICE_INST/b4_PfFz/b7_PbTtl9G/b7_1LbcgKw/Primitives,5,1,0,0,0,0,0
ident_coreinst/IICE_INST/b5_nUTGT/Primitives,96,111,0,0,0,0,0
ident_coreinst/IICE_INST/b5_nUTGT/cntrl_chain/Primitives,5,26,0,0,0,0,0
ident_coreinst/IICE_INST/b5_nUTGT/iclksync_current_state/Primitives,9,13,0,0,0,0,0
ident_coreinst/IICE_INST/b5_nUTGT/iclksync_status/Primitives,7,13,0,0,0,0,0
ident_coreinst/IICE_INST/b8_uKr_IFLY/Primitives,18,0,0,0,0,0,0
ident_coreinst/comm_block_INST/b7_Rcmi_ql/Primitives,4,16,0,0,0,0,0
ident_coreinst/comm_block_INST/b9_ORb_xNywD/Primitives,2,32,0,0,0,0,0
ident_coreinst/comm_block_INST/jtagi/Primitives,38,0,0,0,0,0,3
sys_init_i/Primitives,27,18,0,0,0,0,0
uart_i/COREUART_C0_0/Primitives,2,9,0,0,0,0,0
uart_i/COREUART_C0_0/make_COREUART_C0_COREUART_C0_0_Clock_gen/Primitives,24,19,0,0,0,0,0
uart_i/COREUART_C0_0/make_RX/Primitives,48,38,0,0,0,0,0
uart_i/COREUART_C0_0/make_TX/Primitives,23,21,0,0,0,0,0
uart_reader_i/Primitives,10,14,0,0,0,0,0
uart_writer_i/Primitives,27,17,0,0,0,0,0
